"SKU_","Description","Price_EX","AvailableStock","Category_Code","Category_Description","Group","Brand"
"MAGB660MBAZOOKADDR4","MSI LGA1700 MAG B660M BAZOOKA DDR4",3241.2500,0.00,"MB","MOTHERBOARDS","B660","MSI"
"MAGCOREFROZRAA13","MSI MAG COREFROZR AA13 120MM CPU AIR COO",461.4300,0.00,"FAN","FANS","","MSI"
"MAGCOREFROZRAA13WH","MSI CPU FAN COREFROZR AA13 120MM WH",587.2700,0.00,"FAN","FANS","",""
"MAGCORELIQUIDB240","MSI CPU LIQUID COOLER CORE B240MM RGB",1696.2500,0.00,"CLR","COOLERS","CPU","MSI"
"MAGFORGE112R","MSI CHASSIS FORGE 112R ATX",1630.0000,0.00,"CS","CASES","","MSI"
"MAGZ690TOMAHAWKWIFDDR4","MSI MAG Z690 TOMAHAWK GAMING MOTHERBOARD",4998.7500,0.00,"MB","MOTHERBOARDS","Z690","MSI"
"MALESATACONNECT","MALE SATA TO MOLEX FEMALE",345.4500,0.00,"CAB","CABLES","CAB","MLINK"
"MARONXB.0001","COUGAR ARMOR ONE GAMING CHAIR",3668.7500,0.00,"CHA","GAMING CHAIRS","","COUGAR"
"MARONXB.00012","COUGAR ARMOR ONE ORANGE GAMING CHAIR",3668.7500,0.00,"CHA","GAMING CHAIRS","","COUGAR"
"MB-MC128SA/APC","SAMSUNG EVO PLUS MEMORY CARD",330.7700,0.00,"USB","USB DEVICES","",""
"MB-MC1T0SA/APC","BROTHER COLOUR LASER PRINTER",1977.6500,0.00,"PR","PRINTERS","","BROTHER"
"MB-MC256SA","SAMSUNG EVO+ MICRO SD 256GB SDXC & ADAP",734.2400,0.00,"FS","FLASH DRIVES AND SD CARDS","","SAMSUNG"
"MB-MC512KA/APC","SAMSUNG EVO+ MICRO SD 512GB SDXC + ADAP",1376.0800,0.00,"FS","FLASH DRIVES AND SD CARDS","","SAMSUNG"
"MB165B","ASUS ZENSCREEN MB165B PORTABLE USB MONIT",3161.2500,0.00,"MON","MONITORS/PROJECTORS","","ASUS"
"MB169CK","ASUS ZENSCREEN 15.6"" FHD IPS 60HZ PORTAB",2325.0000,0.00,"MON","MONITORS/PROJECTORS","MON","ASUS"
"MB2140","CANON MAXIFY MB2140 PRINTER",1909.7600,0.00,"PR","PRINTERS","INK","CANON"
"MB2140                   ","CANON MAXIFY MB2140 COLOUR PRINTER",1644.7100,0.00,"PR","PRINTERS","INK","CANON"
"MB2740","CANON MAXIFY MB2740 COLOUR PRINTER",2364.7100,0.00,"PR","PRINTERS","INK","CANON"
"MBT5000C","BROTHER BT5000 CYAN INK FOR DCPT500W DCP",234.3200,0.00,"PRC","PRINTER CONSUMABLES","INK","BROTHER"
"MBTD60BK","BROTHER BT60 BLACK INK FOR DCPT510W",299.5200,0.00,"PRC","PRINTER CONSUMABLES","INK","BROTHER"
"MC-AC10","MERCUSYS AC1200 300MBPS WIRLESS DUAL BAN",457.7000,0.00,"MOD","MODEMS/ROUTERS","ROUTER","MERCUSYS"
"MC-AC12","MERCUSYS AC1200 DUAL BAND WIRELESS ROUTE",497.5100,0.00,"MOD","MODEMS/ROUTERS","ROUTER","MERCUSYS"
"MC-G02","CANON G3420 MAINTENANCE CART",213.3300,0.00,"PRC","PRINTER CONSUMABLES","",""
"MC-HALOS3-2PK","MERCUSYS HALO S3 MESH 2PK",958.5700,0.00,"MOD","MODEMS/ROUTERS","MESH","MERCUSYS"
